nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,crystal_system,a,b,c,alpha,beta,gamma,element_1,element_2,element_3,atomic_num1,atomic_num2,atomic_num3
10,Ag-Al-O,116.487244,5.213036809,11.6487244,-5.667360678,-1.378299743,FALSE,0,,,4.50214569,FALSE,TRUE,FALSE,NM,0.0614073,0.0005271590082,0.03070365,Hexagonal,3.408284409,3.408284409,11.579135,90,90,120.0000079,Ag,Al,O,47,13,8
5,Ag-Al-O,64.17906274,4.730922085,12.83581255,-4.537316028,-0.2482550928,FALSE,0,,,2.45446416,FALSE,TRUE,FALSE,NM,0.0002758,4.30E-06,0.0002758,Cubic,4.003727,4.003727,4.003727,90,90,90,Ag,Al,O,47,13,8
5,Al-Au-O,53.21380498,8.486096192,10.642761,-5.773129062,-1.397879262,FALSE,0,,,4.41367711,FALSE,TRUE,TRUE,FM,2.0114009,0.03779847919,2.0114009,Cubic,3.76133,3.76133,3.76133,90,90,90,Al,Au,O,13,79,8
10,Al-B-O,81.46986382,3.497216426,8.146986382,-8.17212798,-3.115776226,FALSE,5.8392,10.5664,4.7272,4.87077884,FALSE,FALSE,FALSE,NM,0.0002177,2.67E-06,0.00010885,Trigonal,5.314435905,5.314435905,5.314435922,50.16091164,50.16091164,50.16091429,Al,B,O,13,5,8
20,Al-Bi-O,273.8452643,6.887493997,13.69226321,-6.814954908,-2.326383682,FALSE,0.948,5.952,5.004,5.04158517,TRUE,FALSE,FALSE,NM,7.92E-05,2.89E-07,1.98E-05,Orthorhombic,5.384863,5.395965,9.424568,90,90,90,Al,Bi,O,13,83,8
30,Al-Bi-O,409.8256907,6.903328623,13.66085636,-6.53207221,-2.043500985,FALSE,0.7618,6.4488,5.687,6.4488318,FALSE,FALSE,FALSE,NM,8.08E-05,1.97E-07,1.35E-05,Hexagonal,6.323772693,6.323772693,11.833578,90,90,120.0000073,Al,Bi,O,13,83,8
10,Al-Bi-O,147.9710356,6.373232459,14.79710356,-6.184146843,-1.695575617,FALSE,0.6411,6.0289,5.3878,5.4482908,FALSE,FALSE,FALSE,NM,4.06E-05,2.74E-07,2.03E-05,Hexagonal,3.642762492,3.642762492,12.876102,90,90,120.0000089,Al,Bi,O,13,83,8
5,Al-Bi-O,78.10549111,6.0370519,15.62109822,-5.384721586,-0.8961503605,FALSE,0,,,4.02308639,FALSE,TRUE,FALSE,NM,0.384138,0.004918194541,0.384138,Cubic,4.274584,4.274584,4.274584,90,90,90,Al,Bi,O,13,83,8
5,Al-Bi-O,54.31911151,8.680681447,10.8638223,-6.928135246,-2.43956402,FALSE,1.586,8.6579,7.0719,7.11125673,FALSE,FALSE,FALSE,NM,3.66E-05,6.74E-07,3.66E-05,Cubic,3.787194,3.787194,3.787194,90,90,90,Al,Bi,O,13,83,8
10,Al-Bi-O,113.6752137,8.296037246,11.36752137,-6.996409416,-2.507838191,FALSE,2.9779,9.373,6.3951,6.43632044,FALSE,FALSE,FALSE,NM,0.0010866,9.56E-06,0.0005433,Trigonal,5.45999944,5.45999944,5.459999208,59.45710362,59.45710362,59.45710056,Al,Bi,O,13,83,8
20,Al-Bi-O,284.0844557,6.639249619,14.20422278,-6.971450302,-2.482879076,FALSE,2.8885,7.0281,4.1396,4.08182025,FALSE,FALSE,FALSE,NM,0.0001435,5.05E-07,3.59E-05,Monoclinic,5.094505,7.207137,8.683036793,63.00781439,90,90,Al,Bi,O,13,83,8
80,Al-Br-N,2982.041773,2.500910437,37.27552217,-10.83651265,0.2264778864,FALSE,0.3442,-1.8773,-2.2215,-2.20270741,TRUE,FALSE,TRUE,FiM,0,0,0,Orthorhombic,12.08136,12.809219,19.269713,90,90,90,Al,Br,N,13,35,7
